CATEGORY,SUBCATEGORY,NOM,REF,URL_IMAGE,DESCRIPTION,FORMAT,NET SOCOFRA,PUBLIC HT,GARAGE
EXTERIEUR,,DECA FLASH SPRAY 250 ML 12 PZ,H0065,https://doomzyx.github.io/MAFRASHOP-IMG/decaflash400.webp,"Efficacité immédiate : dissout le goudron et la colle en quelques secondes Résultats rapides et sans effort : résultats garantis en quelques secondes. Sûr : Sans danger pour une utilisation sur la peinture, le métal et le verre Élimine définitivement toute trace de goudron ou de colle de la carrosserie, même les résidus les plus tenaces. Prêt à l'emploi : application rapide Formule riche en ingrédients actifs respectueux de l'environnement",250 ml,"2,05","6,41","3,73"
ACCESSOIRES,,DEO-CUBE APPLE 24 PCS,H0194,https://doomzyx.github.io/MAFRASHOP-IMG/deocubeapple.webp,"Design exclusif : forme cubique élégante et symbolique, synonyme d'harmonie et d'équilibre. Fabriqué avec des matériaux naturels : verre transparent et bouchon en bois Bouchon en bois : la structure poreuse du bois permet une diffusion lente, constante et naturelle du parfum Dure jusqu'à 45 jours : parfum intense mais équilibré, stable dans le temps. Intégration parfaite dans l'habitacle : un design minimaliste et moderne qui sublime l'intérieur de votre voiture.",5 ml,"1,16","3,62","2,11"
ACCESSOIRES,,DEO-CUBE FOREST 24 PCS,H0193,https://doomzyx.github.io/MAFRASHOP-IMG/deocubeforest.webp,"Design exclusif : forme cubique élégante et symbolique, synonyme d'harmonie et d'équilibre. Fabriqué avec des matériaux naturels : verre transparent et bouchon en bois Bouchon en bois : la structure poreuse du bois permet une diffusion lente, constante et naturelle du parfum Dure jusqu'à 45 jours : parfum intense mais équilibré, stable dans le temps. Intégration parfaite dans l'habitacle : un design minimaliste et moderne qui sublime l'intérieur de votre voiture.",5 ml,"1,16","3,62","2,11"
ACCESSOIRES,,DEO-CUBE OCEAN 24 PCS,H0197,https://doomzyx.github.io/MAFRASHOP-IMG/deocubeocean.webp,"Design exclusif : forme cubique élégante et symbolique, synonyme d'harmonie et d'équilibre. Fabriqué avec des matériaux naturels : verre transparent et bouchon en bois Bouchon en bois : la structure poreuse du bois permet une diffusion lente, constante et naturelle du parfum Dure jusqu'à 45 jours : parfum intense mais équilibré, stable dans le temps. Intégration parfaite dans l'habitacle : un design minimaliste et moderne qui sublime l'intérieur de votre voiture.",5 ml,"1,16","3,62","2,11"
ACCESSOIRES,,DEO-CUBE STRAWBERRY 24 PCS,H0198,https://doomzyx.github.io/MAFRASHOP-IMG/deocubestrawberry.webp,"Design exclusif : forme cubique élégante et symbolique, synonyme d'harmonie et d'équilibre. Fabriqué avec des matériaux naturels : verre transparent et bouchon en bois Bouchon en bois : la structure poreuse du bois permet une diffusion lente, constante et naturelle du parfum Dure jusqu'à 45 jours : parfum intense mais équilibré, stable dans le temps. Intégration parfaite dans l'habitacle : un design minimaliste et moderne qui sublime l'intérieur de votre voiture.",5 ml,"1,16","3,62","2,11"
ACCESSOIRES,,DEO-CUBE TROPICAL 24 PCS,H0195,https://doomzyx.github.io/MAFRASHOP-IMG/deocubetropical.webp,"Design exclusif : forme cubique élégante et symbolique, synonyme d'harmonie et d'équilibre. Fabriqué avec des matériaux naturels : verre transparent et bouchon en bois Bouchon en bois : la structure poreuse du bois permet une diffusion lente, constante et naturelle du parfum Dure jusqu'à 45 jours : parfum intense mais équilibré, stable dans le temps. Intégration parfaite dans l'habitacle : un design minimaliste et moderne qui sublime l'intérieur de votre voiture.",5 ml,"1,16","3,62","2,11"
ACCESSOIRES,,DEO-CUBE VANILLA 24 PCS,H0196,https://doomzyx.github.io/MAFRASHOP-IMG/deocubevanilla.webp,"Design exclusif : forme cubique élégante et symbolique, synonyme d'harmonie et d'équilibre. Fabriqué avec des matériaux naturels : verre transparent et bouchon en bois Bouchon en bois : la structure poreuse du bois permet une diffusion lente, constante et naturelle du parfum Dure jusqu'à 45 jours : parfum intense mais équilibré, stable dans le temps. Intégration parfaite dans l'habitacle : un design minimaliste et moderne qui sublime l'intérieur de votre voiture.",5 ml,"1,16","3,62","2,11"
INTERIEUR,,DIAMANT PLAST DRESSING PRO 250 ML 12 PZ,H0054,https://doomzyx.github.io/MAFRASHOP-IMG/diamantplastdressingprospray.webp,vernis protecteur Effet soie Barrière de protection efficace contre les rayons UVA,250 ml,"2,00","6,25","3,64"
INTERIEUR,,DIAMANTPLAST DRESSING PRO 4500 ML CART. 4 PZ DUAL,P0495,https://doomzyx.github.io/MAFRASHOP-IMG/diamantplastdressingpro4500.webp,"Rénove, polit et protège les plastiques intérieurs et extérieurs de la voiture ; Formule à base de cire de carnauba et de polymères synthétiques ; Finition brillante et uniforme ; Il ne graisse pas ; Formule anti-poussière ; Facile et rapide à utiliser",4500 ml,"19,21","60,03","34,92"
INTERIEUR,,DIAMANTPLAST DRESSING PRO 750 ML 12 PZ DUAL,H1155,https://doomzyx.github.io/MAFRASHOP-IMG/diamantplastdressingpro.webp,"Rénove, polit et protège les plastiques intérieurs et extérieurs de la voiture ; Formule à base de cire de carnauba et de polymères synthétiques ; Finition brillante et uniforme ; Il ne graisse pas ; Formule anti-poussière ; Facile et rapide à utiliser.",750 ml,"3,23","10,09","5,87"
INTERIEUR,,DIAMANTPLAST LIQUIDO 5 LT on demand 20/25 days,PE084,https://doomzyx.github.io/MAFRASHOP-IMG/diamantplastdressingpro4500.webp,Effet ultra-brillant longue durée Action protectrice qui renouvelle le tableau de bord Ravive la couleur des pièces en plastique décolorées par le soleil Formule avec filtre UVA pour protéger les plastiques Il n'est pas gras et ne laisse pas de traces. Parfum délicat de poudre de talc,5 KG,"4,66","14,56","8,47"
INTERIEUR,,DIAMANTPLAST SATIN LIQUIDO 5 L. on demand,P0350,https://doomzyx.github.io/MAFRASHOP-IMG/diamantplastsatin400.webp,Finition mate et effet satiné Protège et régénère les parties traitées Laisse la surface lisse au toucher Effet antistatique et anti-UV pour une protection longue durée Formule sans silicone pour un résultat naturel Application rapide et facile en quelques secondes Parfum de fleur glacée,5 L,"4,42","13,82","8,04"
INTERIEUR,,DIAMANTPLAST SATIN S/S SPRAY 500 ML 24*PZ,H0052,https://doomzyx.github.io/MAFRASHOP-IMG/diamantplastsatin400.webp,Finition mate et effet satiné Protège et régénère les parties traitées Laisse la surface lisse au toucher Effet antistatique et anti-UV pour une protection longue durée Formule sans silicone pour un résultat naturel Application rapide et facile en quelques secondes Parfum de fleur glacée,500 ml,"2,53","7,89","4,59"
INTERIEUR,,DIAMANTPLAST SHINE SPRAY 500 ML 24 PZ,H0049,https://doomzyx.github.io/MAFRASHOP-IMG/Diamantplast_shine.webp,Effet ultra-brillant longue durée Action protectrice qui renouvelle le tableau de bord Ravive la couleur des pièces en plastique décolorées par le soleil Formule avec filtre UVA pour protéger les plastiques Il n'est pas gras et ne laisse pas de traces. Parfum délicat de poudre de talc,500 ml,"2,40","7,50","4,36"
ACCESSOIRES,,FANTASIE DI ELISIR BLUE OCEAN 500 ML 6 PCS,H0747,https://doomzyx.github.io/MAFRASHOP-IMG/FEBLUE.webp,"Née d'une refonte complète d'un classique Ma-Fra , désormais encore plus élégante, contemporaine et séduisante Un nouvel emballage raffiné , qui met en valeur l'esthétique du produit et souligne sa haute qualité. Disponible en 6 parfums exclusifs format 500 ml Formule concentrée aux huiles essentielles pures pour un parfum intense et persistant Des parfums inspirés par la haute parfumerie Conçu pour durer longtemps même avec seulement quelques pulvérisations. Idéal pour la voiture, la maison, le bureau, l'hôtel et la salle d'exposition",500 ml,"4,94","15,44","8,98"
ACCESSOIRES,,FANTASIE DI ELISIR FRESH LIME 500 ML 6 PCS,H0745,https://doomzyx.github.io/MAFRASHOP-IMG/FEFRESHLIME.webp,"Née d'une refonte complète d'un classique Ma-Fra , désormais encore plus élégante, contemporaine et séduisante Un nouvel emballage raffiné , qui met en valeur l'esthétique du produit et souligne sa haute qualité. Disponible en 6 parfums exclusifs format 500 ml Formule concentrée aux huiles essentielles pures pour un parfum intense et persistant Des parfums inspirés par la haute parfumerie Conçu pour durer longtemps même avec seulement quelques pulvérisations. Idéal pour la voiture, la maison, le bureau, l'hôtel et la salle d'exposition",500 ml,"4,94","15,44","8,98"
ACCESSOIRES,,FANTASIE DI ELISIR ICE FOREST 500 ML 6 PCS,H1043,https://doomzyx.github.io/MAFRASHOP-IMG/FEICEFOREST.webp,"Née d'une refonte complète d'un classique Ma-Fra , désormais encore plus élégante, contemporaine et séduisante Un nouvel emballage raffiné , qui met en valeur l'esthétique du produit et souligne sa haute qualité. Disponible en 6 parfums exclusifs format 500 ml Formule concentrée aux huiles essentielles pures pour un parfum intense et persistant Des parfums inspirés par la haute parfumerie Conçu pour durer longtemps même avec seulement quelques pulvérisations. Idéal pour la voiture, la maison, le bureau, l'hôtel et la salle d'exposition",500 ml,"4,94","15,44","8,98"
ACCESSOIRES,,FANTASIE DI ELISIR IRIS BLOOM 500 ML 6 PCS,H0749,https://doomzyx.github.io/MAFRASHOP-IMG/FEIRISBLOOM.webp,"Née d'une refonte complète d'un classique Ma-Fra , désormais encore plus élégante, contemporaine et séduisante Un nouvel emballage raffiné , qui met en valeur l'esthétique du produit et souligne sa haute qualité. Disponible en 6 parfums exclusifs format 500 ml Formule concentrée aux huiles essentielles pures pour un parfum intense et persistant Des parfums inspirés par la haute parfumerie Conçu pour durer longtemps même avec seulement quelques pulvérisations. Idéal pour la voiture, la maison, le bureau, l'hôtel et la salle d'exposition",500 ml,"4,94","15,44","8,98"
ACCESSOIRES,,FANTASIE DI ELISIR ORIENTAL SPA 500 ML 6 PCS,H0743,https://doomzyx.github.io/MAFRASHOP-IMG/FEORIENTAL.webp,"Née d'une refonte complète d'un classique Ma-Fra , désormais encore plus élégante, contemporaine et séduisante Un nouvel emballage raffiné , qui met en valeur l'esthétique du produit et souligne sa haute qualité. Disponible en 6 parfums exclusifs format 500 ml Formule concentrée aux huiles essentielles pures pour un parfum intense et persistant Des parfums inspirés par la haute parfumerie Conçu pour durer longtemps même avec seulement quelques pulvérisations. Idéal pour la voiture, la maison, le bureau, l'hôtel et la salle d'exposition",500 ml,"4,94","15,44","8,98"
ACCESSOIRES,,FANTASIE DI ELISIR RELAX SENSATION 500 ML 6 PCS,H1042,https://doomzyx.github.io/MAFRASHOP-IMG/FERELAX.webp,"Née d'une refonte complète d'un classique Ma-Fra , désormais encore plus élégante, contemporaine et séduisante Un nouvel emballage raffiné , qui met en valeur l'esthétique du produit et souligne sa haute qualité. Disponible en 6 parfums exclusifs format 500 ml Formule concentrée aux huiles essentielles pures pour un parfum intense et persistant Des parfums inspirés par la haute parfumerie Conçu pour durer longtemps même avec seulement quelques pulvérisations. Idéal pour la voiture, la maison, le bureau, l'hôtel et la salle d'exposition",500 ml,"4,94","15,44","8,98"
INTERIEUR,,FASPOILER SPRAY 300 ML 12 PZ,HN085,https://doomzyx.github.io/MAFRASHOP-IMG/faspoiler.webp,"Application instantanée : spray facile à utiliser sur les pare-chocs, les ailerons et les fascias Prise instantanée Polit et protège : crée un voile brillant, transparent et protecteur qui régénère les surfaces Résistance aux UV : protège les plastiques de la décoloration et du vieillissement Renouveler sans graisser Riche en substances précieuses et en nutriments à base de polymères Il résiste aux effets de l'eau chaude ou froide, du soleil et de la poussière au fil du temps",300 ml,"1,95","6,09","3,54"
EXTERIEUR,,"FAST & BLACK LIQUIDO 4,5 L. MULTILINGUE",P0498,https://doomzyx.github.io/MAFRASHOP-IMG/fast&black.webp,"Effet revitalisant immédiat : redonne au noir d'origine sans graisser Protection contre la fissuration causée par les agents atmosphériques Convient à tout type de pneu Résistant : barrière qui dure jusqu'à 3 lavages Application rapide : spray pratique, sèche en quelques minutes Antistatique : repousse la saleté et améliore la propreté Multiusage : application rapide et pratique sur les pneus et les tapis en caoutchouc Parfum agréable : dégage un arôme frais et propre",4500 ml,"4,95","15,46","8,99"
EXTERIEUR,,FAST CLEANER 3in1 DUAL 500 ML 6 PCS/QUICK DETAILER,H0853,https://doomzyx.github.io/MAFRASHOP-IMG/fastcleaner3en1.webp,"Nettoyage rapide des saletés fraîches , des insectes et du guano sans utiliser d'eau Accessoire de séchage pour voiture : facilite le glissement du chiffon de séchage en évitant la formation de traces et de bavures. Lubrifiant professionnel pour pâte à polir : garantit une lubrification optimale pour la décontamination mécanique à la pâte à polir en toute sécurité Élimine le calcaire et les taches d'eau après lavage pour une finition parfaite Protection antistatique et couche soyeuse qui repousse la poussière et la saleté Polyvalent : il peut être appliqué sur la carrosserie, le verre et d'autres surfaces, garantissant des résultats rapides et sûrs. Convient à toutes les occasions : de la préparation avant l'événement à la finition après le lavage de voiture",300 ml,"2,11","6,59","3,84"
EXTERIEUR,,FAST E BLACK SPRAY 500 ML 12*PZ ovest,H0283,https://doomzyx.github.io/MAFRASHOP-IMG/fast&black400.webp,"Effet revitalisant immédiat : redonne au noir d'origine sans graisser Protection contre la fissuration causée par les agents atmosphériques Convient à tout type de pneu Résistant : barrière qui dure jusqu'à 3 lavages Application rapide : spray pratique, sèche en quelques minutes Antistatique : repousse la saleté et améliore la propreté Multiusage : application rapide et pratique sur les pneus et les tapis en caoutchouc Parfum agréable : dégage un arôme frais et propre",500 ml,"2,60","8,13","4,73"
INTERIEUR,,FLASH 400ML,H0544,https://doomzyx.github.io/MAFRASHOP-IMG/flash.webp,"Formule innovante à action sèche , éliminant la saleté et les taches tenaces. Effet anti-odeurs : Neutralise les odeurs d'animaux, de nourriture et de fumée Brosse ergonomique bi-composante pour une douceur et une résistance optimales Distributeur de précision pour une application ciblée sans gaspillage Idéal pour éliminer les taches sur : sièges de voiture, tapis, tous types de tissus d'ameublement, tissus, velours et Alcantara.",400 ml,"2,31","7,22","4,20"
KIT,,FLASH BRIGHT KIT+SPUGNA BOOSTER 80 ML 6 PCS,H0515,https://doomzyx.github.io/MAFRASHOP-IMG/kit-polish-express.webp,"Élimine les petites rayures et l'oxydation légère du chrome, de l'acier, du laiton et des alliages. Assure une brillance profonde et durable Protection anticorrosion et UVA Ne laisse pas de traces grasses Le paquet contient : un flacon de 80 ml de produit et l’éponge Booster Éponge Booster : adhérence exceptionnelle aux surfaces, facilite le travail et améliore la brillance.",80 ml,"4,70","14,69","8,54"
ACCESSOIRES,,Gant Double Face,A0247,https://doomzyx.github.io/MAFRASHOP-IMG/gant_double_face.webp,Microfibre haute densité pour une délicatesse maximale de la peinture Double face spéciale pour les saletés fines et grossières Grand format 30 x 20 cm pour couvrir de grandes surfaces Absorption importante d'eau/shampoing Utilisable à sec comme gant pour sécher la carrosserie Permet d'enlever la poussière sans risque de rayures Technologie autonettoyante facile : la microfibre retient la saleté pendant le lavage et l'élimine au rinçage Manchette élastique pour une prise en main ferme et un contrôle optimal,,"2,47","7,72","4,49"
INTERIEUR / EXTERIEUR,,GLASS CLEAN e SHINE SPRAY 500 ML 6 PZ OVEST,H0791,https://doomzyx.github.io/MAFRASHOP-IMG/glassclean&shine.webp,"Mousse puissante et adhérente, éliminant sans effort le smog et la poussière. Sans traces : formule sans ammoniaque pour un verre parfait Effet brillant immédiat sur le verre, les cristaux et les écrans LCD, même sur les surfaces recouvertes de films de noircissement. Prêt à l'emploi avec spray, convient aux voitures et aux camping-cars. Pouvoir purificateur élevé Parfum délicat et séchage rapide pour une expérience haut de gamme",500 ml,"1,61","5,03","2,93"
INTERIEUR / EXTERIEUR,,GLASS CLEANER DUAL 500 ML 6 PCS,H0909,https://doomzyx.github.io/MAFRASHOP-IMG/glasscleaner.webp,"Action dégraissante rapide pour des vitres brillantes en quelques secondes Sa formule anti-smog élimine la poussière, les résidus atmosphériques et les dépôts routiers. Aucune trace grâce à la mousse active qui capture la saleté Sans danger et sans ammoniaque, il n'attaque pas les plastiques, les joints ni les autres pièces du véhicule avec lesquelles il pourrait entrer en contact. Polyvalent, idéal pour les voitures, les motos, les camping-cars et les bateaux. Dégraissant : élimine les traces, les taches de graisse, les empreintes digitales et tout autre type de tache.",500 ml,"1,55","4,84","2,82"
INTERIEUR / EXTERIEUR,,GLASS CLEANER PLUS 750 ML 12 PZ DUAL TRIGGER,H1154,https://doomzyx.github.io/MAFRASHOP-IMG/glass-cleaner-plus.webp,"Élimine efficacement les saletés les plus tenaces Sans ammoniaque : sans danger pour une utilisation sur tous types de surfaces L'évaporation rapide garantit un verre sec en quelques secondes. Ne laisse aucune trace ni marque , pour une visibilité parfaitement claire Idéal pour : vitres, pare-brise, rétroviseurs et écrans LCD des systèmes de navigation Agréablement parfumé",750 ml,"1,50","4,69","2,73"
ACCESSOIRES,,HP 12 500 ML 6 PZ DUAL,H0879,https://doomzyx.github.io/MAFRASHOP-IMG/h12-500.webp,,500 ml,"2,22","6,94","4,04"
INTERIEUR,,HP 12 DUAL 4500 ML CART. 4 PCS,P0849,https://doomzyx.github.io/MAFRASHOP-IMG/hp12-4500.webp,"HP12 super concentré, le meilleur de la technologie Mafra appliquée au nettoyage moderne, est le plus innovant des dégraissants techniques universels. Puissant, rapide et polyvalent, il offre des performances imbattables sur tous les types de surfaces, en toute sécurité grâce à l'équilibre de son pH. Avec HP12, vous pouvez résoudre facilement et de manière extraordinairement efficace tout problème de dégraissage et de nettoyage complet intensif.",4500 ml,"13,56","42,38","24,65"
INTERIEUR / EXTERIEUR,,IDROSTOP SPRAY 300 ML 12 PCS,H0131,https://doomzyx.github.io/MAFRASHOP-IMG/idrostop.webp,"Effet hydrofuge immédiat contre l'eau et les liquides Protège les capots, les sièges et les tapis de sol de la saleté et des taches. Formulé à partir de technologies de protection nanotechnologiques N'altère ni la couleur ni la texture des tissus. Un seul aérosol suffit pour traiter au moins 6 m² de tissu. Protège les surfaces contre la saleté extérieure et les salissures accidentelles telles que les boissons et les huiles. Empêche les liquides de s'incruster sur les tissus, prévenant ainsi la formation de moisissures.",300 ml,"3,72","11,63","6,76"
EXTERIEUR,,KILLER DUAL 500 ML 6 PZ,H0847,https://doomzyx.github.io/MAFRASHOP-IMG/insectremover400.webp,"Élimine facilement les insectes , les moucherons, les moustiques et les résidus secs. Killer est spécifiquement conçu pour la carrosserie, les vitres, les phares, les pare-chocs et les cristaux. Prêt à l'emploi : flacon pulvérisateur de 500 ml pour un nettoyage rapide et pratique Action rapide : dissout les résidus en quelques secondes, les rendant facilement éliminables à l'aide d'un chiffon en microfibre ou d'un jet d'eau haute pression. Sûr : Convient à toutes les voitures Produit étudié dans les laboratoires Ma-Fra pour garantir une efficacité maximale sans risque",500 ml,"2,06","6,44","3,75"
EXTERIEUR,,KILLER PULIMOSCERINI 250 ML 24 PZ,H0569,https://doomzyx.github.io/MAFRASHOP-IMG/insectremover.webp,"Enlève les taches de mouches ou d'insectes sur la carrosserie de la voiture ; Il fonctionne en toute sécurité pour toutes les parties de la voiture ; Idéal également pour les pare-chocs, les vitres et les phares.",250 ml,"0,65","2,03","1,18"
EXTERIEUR,,LAST TOUCH 2.0 4500 ML 4 PZ,P0560,https://doomzyx.github.io/MAFRASHOP-IMG/lasttouchexpress4500.webp,"Le produit garantit une protection durable, intensifie la couleur et la brillance de la carrosserie et peut être utilisé en toute sécurité sur n'importe quelle surface extérieure. Traitement et protection de la carrosserie Pour une brillance longue durée",4500 ml,"15,37","48,03","27,94"
EXTERIEUR,,LAST TOUCH 2.0 EXPRESS DUAL 500 ML 6 PCS,H0854,https://doomzyx.github.io/MAFRASHOP-IMG/lasttouch2.0.webp,"Formule à base de cire de carnauba et de polymères synthétiques : garantit une protection optimale, polit, nettoie et protège en une seule étape. Effet hydrophobe avancé : scelle la peinture en créant une barrière contre l'eau, le smog, le sel, le calcaire et les résidus minéraux. Brillance intense : Réfraction lumineuse élevée pour des couleurs plus éclatantes et un fini miroir Application rapide et facile : utilisable sur surfaces sèches ou humides, sans traces et sans gaspillage d'eau. Convient à toutes les surfaces extérieures : sans danger pour la carrosserie, le verre, les plastiques, les joints et le chrome. Protection longue durée : préserve la brillance et la propreté de la carrosserie plus longtemps, même après la pluie et le lavage.",500 ml,"2,95","9,21","5,36"
ACCESSOIRES,,LOT 6 MICROFIBRE,O594,https://doomzyx.github.io/MAFRASHOP-IMG/chiffon-microfibre.webp,"Lot de 6 chiffons au format 60x40 cm microfibres technologiques haute performance Polyvalent : très utile pour de nombreuses applications Adapté aux travaux intensifs tels que le nettoyage du compartiment moteur ou l'élimination de saletés tenaces, de résine et de colle. Haute résistance à l'usure au fil du temps Microfibres hautement absorbantes pour un séchage rapide Il peut être utilisé pour le nettoyage intérieur : il agit en profondeur et élimine les molécules de saleté.",,"7,78","24,31","14,14"
EXTERIEUR,,LUBRIGRAPH 600 ML 12 PCS,H0252,https://doomzyx.github.io/MAFRASHOP-IMG/lubrigraph.webp,Performances trois fois supérieures à celles du graphite noir traditionnel Il ne durcit pas et reste huileux au fil du temps. Protège durablement les parties traitées Pouvoir lubrifiant équivalent à celui de graisses spécifiques du marché Résistant au lavage à l'eau haute pression Sans substances bitumineuses pour un environnement plus propre,600 ml,"4,35","13,59","7,91"
ACCESSOIRES,,LUBRIMAX SPRAY 500 ML 6 PZ,H0792,https://doomzyx.github.io/MAFRASHOP-IMG/lubrimax.webp,"Adhésion ultra forte et pénétration profonde Nouvelle technologie chimique : elle se transforme d'un liquide, pour une pénétration parfaite dans les composants mécaniques, en un gel qui adhère aux parties traitées. Excellente fluidité des engrenages et des mécanismes Elle garantit une grande douceur Résistant au lavage et aux agents chimiques et salins Il ne goutte pas et ne fait pas de dégâts. Excellent isolant pour les bornes de batterie Il résiste aux hautes températures et aux fortes oscillations mécaniques.",500 ml,"4,58","14,31","8,32"
ACCESSOIRES,,"LUCKY STAR ""AQUACOOL"" 24 PCS",H0235,https://doomzyx.github.io/MAFRASHOP-IMG/luckystaraquacool.webp,Design exclusif : forme élégante et moderne Ajustement de l'essence : parfum personnalisé d'un simple geste Multi-usage : idéal pour les voitures et les petits espaces domestiques Installation rapide : suspendez-le et profitez immédiatement de l'arôme.,6 ml,"0,60","1,88","1,09"
